Party,Leader,Seats
Ensemble!,Emmanuel Macron,245
New Ecological and Social People's Union (NUPES),Jean-Luc Mélenchon (de facto),131
Rassemblement National (RN),Marine Le Pen,89
Les Républicains (LR),Éric Ciotti (new leader post-election),61
Others,Various,51
